Sport,Dport,Dur,SrcBytes,DstBytes,sTtl,dTtl,SrcLoss,DstLoss,SrcLoad,DstLoad,SrcPkts,DstPkts,SrcWin,DstWin,SrcTCPBase,DstTCPBase,sMeanPktSz,dMeanPktSz,SrcJitter,DstJitter,StartTime,LastTime,SIntPkt,DIntPkt,TcpRtt,SynAck,AckDat,Trans,Min,Max,Sum,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_login,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_telnet_login,label,SrcAddr_192.170.11.129,SrcAddr_192.170.11.171,SrcAddr_192.170.11.197,SrcAddr_192.170.11.27,SrcAddr_192.170.11.53,SrcAddr_fe80::b0c5:54ff:fe44:fa4,DstAddr_192.170.11.1,DstAddr_192.170.11.129,DstAddr_192.170.11.171,DstAddr_192.170.11.197,DstAddr_192.170.11.27,DstAddr_192.170.11.53,DstAddr_224.0.0.251,DstAddr_239.255.255.250,DstAddr_255.255.255.255,DstAddr_52.1.151.223,DstAddr_54.193.40.55,DstAddr_54.194.162.25,DstAddr_54.194.162.61,DstAddr_54.254.189.170,DstAddr_54.254.189.209,DstAddr_54.254.191.105,DstAddr_ff02::1,DstAddr_ff02::16,DstAddr_ff02::1:2,DstAddr_ff02::c,DstAddr_ff02::fb,Proto_ipv6-icmp,Proto_tcp,Proto_udp,State_0,State_1,State_2,State_3,State_4
36587.0,8441.0,1.012675,3,0,64.0,64.0,0,0,0,0,6,5,16548.0,5792.0,1781132962.0,351656261.0,80.0,284.600006,0,0,1608653039.270486,1608653040.283161,1,0,0,0,0,1.0,1.012675,1.012675,1.012675,2,4,0,0,0,30,5,5,31,1,1,1,0,normal,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
56132.0,8147.0,1.021758,3,0,64.0,64.0,0,0,0,0,6,5,16548.0,5792.0,3921854786.0,1368773434.0,80.0,284.600006,0,0,1608653040.282169,1608653041.303927,2,0,0,0,0,1.0,1.021758,1.021758,1.021758,2,5,0,0,0,31,8,8,31,1,1,4,0,normal,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
43958.0,49152.0,0.017372,3,0,64.0,64.0,0,0,1,0,6,5,17832.0,14480.0,431816997.0,4047754867.0,81.5,335.399994,0,0,1608653041.319745,1608653041.337117,1,0,0,0,0,1.0,0.017372,0.017372,0.017372,2,6,0,0,0,32,8,8,33,2,1,4,0,normal,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
35675.0,8995.0,1.017499,3,0,64.0,64.0,0,0,0,0,6,5,16540.0,5792.0,2592412562.0,3917609759.0,79.833336,284.0,1,0,1608653041.335048,1608653042.352547,2,0,0,0,0,1.0,1.017499,1.017499,1.017499,2,7,0,0,0,33,7,7,34,2,1,3,0,normal,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
36592.0,8441.0,1.017566,3,0,64.0,64.0,0,0,0,0,6,5,16548.0,5792.0,2842991078.0,353512355.0,80.0,284.600006,0,0,1608653042.351167,1608653043.368733,1,0,0,0,0,1.0,1.017566,1.017566,1.017566,2,8,0,0,0,34,6,6,35,2,1,2,0,normal,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
56137.0,8147.0,1.015229,3,0,64.0,64.0,0,0,0,0,6,5,16548.0,5792.0,284025988.0,1367174167.0,80.0,284.600006,1,0,1608653043.36495,1608653044.380179,1,0,0,0,0,1.0,1.015229,1.015229,1.015229,2,9,0,0,0,35,9,9,35,2,1,5,0,normal,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
49729.0,3614.0,0.0,1,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,466.0,0.0,1,0,1608653051.159105,1608653051.159105,1,0,0,0,0,1.0,0.0,0.0,0.0,2,23,0,0,0,36,10,10,36,4,1,6,0,normal,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
546.0,547.0,2.8e-05,0,0,1.0,0.0,0,0,1,0,2,0,0.0,0.0,0.0,0.0,114.0,0.0,0,0,1608653100.26333,1608653100.263358,0,0,0,0,0,1.0,2.8e-05,2.8e-05,2.8e-05,2,7,0,0,0,3,3,3,3,3,3,3,0,normal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
57936.0,39388.0,0.0,1,0,64.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,466.0,0.0,0,0,1608653114.149692,1608653114.149692,0,0,0,0,0,1.0,0.0,0.0,0.0,2,24,0,0,0,37,9,9,37,1,1,5,0,normal,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
39707.0,1900.0,3.2e-05,1,0,1.0,0.0,0,0,1,0,2,0,0.0,0.0,0.0,0.0,179.0,0.0,0,0,1608653144.58902,1608653144.589052,0,0,0,0,0,1.0,3.2e-05,3.2e-05,3.2e-05,2,8,0,0,0,38,5,5,38,5,1,5,0,normal,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
